02-08-2023 15:19:48 INFO     [app.py:8] Loading books list...
02-08-2023 15:19:48 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:49 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:50 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:51 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:51 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:52 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:53 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:53 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:54 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:55 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:55 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:56 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:57 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:57 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:58 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:19:59 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:19:59 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:00 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:00 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:01 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:02 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:03 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:04 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:04 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:05 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:06 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:06 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:07 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:08 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:08 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:09 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:09 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:10 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:11 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:11 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:12 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:13 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:13 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:14 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:14 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:15 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:16 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:17 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:17 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:18 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:18 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:19 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:20 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:20 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:21 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:21 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:22 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:22 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:23 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:23 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:24 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:25 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:25 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:26 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:27 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
02-08-2023 15:20:27 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
02-08-2023 15:20:28 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET / HTTP/1.1" 200 51294
